id,template_question,intent,slots,answer_template
TPL_001,"Nhà hàng [RES_NAME] mở cửa lúc mấy giờ?","ASK_OPENING_HOURS","RES_NAME","Dạ, nhà hàng [RES_NAME] mở cửa phục vụ từ [OPENING_HOURS] ạ."
TPL_002,"[RES_NAME] hoạt động trong khung giờ nào vậy bạn?","ASK_OPENING_HOURS","RES_NAME","Thời gian hoạt động của [RES_NAME] là [OPENING_HOURS] bạn nhé."
TPL_003,"Cho mình hỏi giờ đóng cửa của [RES_NAME] với.","ASK_OPENING_HOURS","RES_NAME","Hiện tại [RES_NAME] phục vụ khách trong khung giờ [OPENING_HOURS] ạ."
TPL_004,"Bạn ơi, [RES_NAME] bắt đầu nhận khách từ mấy giờ?","ASK_OPENING_HOURS","RES_NAME","Chào bạn, [RES_NAME] mở cửa đón khách từ [OPENING_HOURS] ạ."
TPL_005,"Lịch mở cửa của [RES_NAME] thế nào nhỉ?","ASK_OPENING_HOURS","RES_NAME","Nhà hàng [RES_NAME] mở cửa theo lịch [OPENING_HOURS] ạ."
TPL_006,"Mình muốn biết thời gian phục vụ tại [RES_NAME].","ASK_OPENING_HOURS","RES_NAME","Dạ thời gian phục vụ của [RES_NAME] là [OPENING_HOURS]."
TPL_007,"Sáng nay [RES_NAME] mấy giờ mở vậy?","ASK_OPENING_HOURS","RES_NAME","[RES_NAME] mở cửa lúc [OPENING_HOURS] ạ."
TPL_008,"Tối nay [RES_NAME] đóng cửa lúc mấy giờ?","ASK_OPENING_HOURS","RES_NAME","Dạ [RES_NAME] sẽ đóng cửa vào lúc [OPENING_HOURS]."
TPL_009,"Giờ làm việc của quán [RES_NAME] ra sao?","ASK_OPENING_HOURS","RES_NAME","Giờ làm việc của [RES_NAME] là [OPENING_HOURS] ạ."
TPL_010,"Khi nào thì [RES_NAME] bắt đầu bán?","ASK_OPENING_HOURS","RES_NAME","[RES_NAME] bắt đầu bán từ [OPENING_HOURS] bạn nhé."
TPL_011,"Quán [RES_NAME] mở cửa cả ngày hay sao?","ASK_OPENING_HOURS","RES_NAME","Khung giờ mở cửa của [RES_NAME] là [OPENING_HOURS] ạ."
TPL_012,"Cho hỏi thời gian hoạt động của [RES_NAME].","ASK_OPENING_HOURS","RES_NAME","Thông tin đến bạn: [RES_NAME] hoạt động từ [OPENING_HOURS]."
TPL_013,"Mấy giờ mình có thể ghé [RES_NAME] được?","ASK_OPENING_HOURS","RES_NAME","Bạn có thể ghé [RES_NAME] trong khoảng [OPENING_HOURS] nhé."
TPL_014,"[RES_NAME] nghỉ lúc mấy giờ vậy ad?","ASK_OPENING_HOURS","RES_NAME","Dạ [RES_NAME] nghỉ lúc [OPENING_HOURS] ạ."
TPL_015,"Xin thông tin giờ mở cửa [RES_NAME].","ASK_OPENING_HOURS","RES_NAME","Giờ mở cửa của [RES_NAME] là [OPENING_HOURS] ạ."
TPL_016,"Có ai biết [RES_NAME] mở đến mấy giờ không?","ASK_OPENING_HOURS","RES_NAME","Nhà hàng [RES_NAME] mở cửa đến [OPENING_HOURS] ạ."
TPL_017,"Khung giờ nhận khách của [RES_NAME] là bao nhiêu?","ASK_OPENING_HOURS","RES_NAME","[RES_NAME] nhận khách trong khung giờ [OPENING_HOURS]."
TPL_018,"Bây giờ đến [RES_NAME] thì có mở không?","ASK_OPENING_HOURS","RES_NAME","Giờ mở cửa của [RES_NAME] là [OPENING_HOURS], bạn kiểm tra nhé."
TPL_019,"[RES_NAME] mở cửa sớm hay muộn?","ASK_OPENING_HOURS","RES_NAME","[RES_NAME] mở cửa theo giờ: [OPENING_HOURS] ạ."
TPL_020,"Cho mình xin lịch hoạt động của [RES_NAME].","ASK_OPENING_HOURS","RES_NAME","Lịch hoạt động của [RES_NAME]: [OPENING_HOURS] ạ."
TPL_021,"Nhà hàng [RES_NAME] ở đâu vậy?","ASK_ADDRESS","RES_NAME","Nhà hàng [RES_NAME] tọa lạc tại [ADDRESS] ạ."
TPL_022,"Địa chỉ chính xác của [RES_NAME] là gì?","ASK_ADDRESS","RES_NAME","Địa chỉ của [RES_NAME] là [ADDRESS] bạn nhé."
TPL_023,"Cho mình xin địa chỉ quán [RES_NAME] với.","ASK_ADDRESS","RES_NAME","Dạ, [RES_NAME] nằm ở [ADDRESS] ạ."
TPL_024,"[RES_NAME] nằm trên đường nào thế?","ASK_ADDRESS","RES_NAME","[RES_NAME] nằm tại địa chỉ [ADDRESS] ạ."
TPL_025,"Làm sao để đi đến [RES_NAME]?","ASK_ADDRESS","RES_NAME","Bạn có thể ghé [RES_NAME] tại địa chỉ [ADDRESS] nhé."
TPL_026,"Vị trí của [RES_NAME] là ở chỗ nào?","ASK_ADDRESS","RES_NAME","Vị trí của [RES_NAME] là [ADDRESS] ạ."
TPL_027,"Chỉ đường cho mình đến [RES_NAME] được không?","ASK_ADDRESS","RES_NAME","Bạn đến [RES_NAME] theo địa chỉ này nhé: [ADDRESS]."
TPL_028,"Quán [RES_NAME] tọa lạc ở khu vực nào?","ASK_ADDRESS","RES_NAME","[RES_NAME] nằm ở [ADDRESS] ạ."
TPL_029,"Mình đang tìm đường tới [RES_NAME].","ASK_ADDRESS","RES_NAME","Địa chỉ chính xác để bạn tới [RES_NAME] là [ADDRESS]."
TPL_030,"[RES_NAME] có dễ tìm không, địa chỉ là gì?","ASK_ADDRESS","RES_NAME","[RES_NAME] ở [ADDRESS], rất dễ tìm ạ."
TPL_031,"Xin location của [RES_NAME] với.","ASK_ADDRESS","RES_NAME","Location của [RES_NAME]: [ADDRESS] ạ."
TPL_032,"[RES_NAME] nằm ở quận mấy?","ASK_ADDRESS","RES_NAME","[RES_NAME] nằm tại [ADDRESS] ạ."
TPL_033,"Bạn ơi, quán [RES_NAME] địa chỉ cụ thể là sao?","ASK_ADDRESS","RES_NAME","Cụ thể [RES_NAME] ở số [ADDRESS] bạn nhé."
