id,question,answer,category
FAQ_001,"Làm sao để đặt bàn trên web?","Bạn truy cập trang chủ, chọn nhà hàng, chọn ngày giờ và số khách, sau đó nhấn 'Đặt ngay' và điền thông tin.",SYSTEM
FAQ_002,"Web này có thu phí đặt bàn không?","Hệ thống hoàn toàn miễn phí dịch vụ đặt bàn. Bạn chỉ thanh toán tiền ăn uống thực tế tại nhà hàng.",PAYMENT
FAQ_003,"Tôi muốn hủy đơn đặt bàn thì làm sao?","Bạn vào mục 'Lịch sử đặt bàn', chọn đơn cần hủy và nhấn nút 'Hủy đơn'. Lưu ý xem chính sách hủy của từng nhà hàng.",BOOKING
FAQ_004,"Làm thế nào để đăng ký tài khoản?","Bạn nhấn vào nút 'Đăng ký' ở góc phải màn hình, nhập số điện thoại hoặc email để tạo tài khoản mới.",ACCOUNT
FAQ_005,"Tôi quên mật khẩu đăng nhập rồi.","Bạn nhấn vào 'Quên mật khẩu' tại màn hình đăng nhập, hệ thống sẽ gửi mã OTP hoặc link khôi phục qua email/SĐT của bạn.",ACCOUNT
FAQ_006,"Đặt bàn xong có tin nhắn xác nhận không?","Có ạ. Hệ thống sẽ gửi email và tin nhắn SMS (hoặc Zalo) xác nhận ngay sau khi bạn đặt thành công.",BOOKING
FAQ_007,"Tôi muốn đổi giờ đặt bàn được không?","Được ạ. Bạn vui lòng vào quản lý đơn đặt để 'Sửa giờ' hoặc gọi hotline hỗ trợ nếu sát giờ hẹn.",BOOKING
FAQ_008,"Có cần đặt cọc khi đặt bàn không?","Tùy quy định của từng nhà hàng. Một số nơi yêu cầu cọc với đoàn đông hoặc giờ cao điểm, hệ thống sẽ thông báo rõ khi bạn đặt.",PAYMENT
FAQ_009,"Hệ thống có tích điểm không?","Có ạ. Mỗi lần đặt bàn và hoàn thành bữa ăn, bạn sẽ được tích điểm để đổi voucher giảm giá.",LOYALTY
FAQ_010,"Làm sao để sử dụng mã giảm giá?","Tại bước thanh toán/xác nhận đặt bàn, bạn nhập mã vào ô 'Mã khuyến mãi' để được áp dụng ưu đãi.",LOYALTY
FAQ_011,"Tôi muốn xóa tài khoản vĩnh viễn.","Bạn vào 'Cài đặt tài khoản' và chọn 'Yêu cầu xóa tài khoản'. Dữ liệu sẽ được xóa sau 30 ngày.",ACCOUNT
FAQ_012,"Hệ thống bảo mật thông tin khách hàng thế nào?","Chúng tôi cam kết bảo mật tuyệt đối thông tin cá nhân của bạn theo chính sách bảo mật được công bố trên website.",SYSTEM
FAQ_013,"Tại sao tôi không nhận được mã OTP?","Vui lòng kiểm tra lại số điện thoại, kết nối mạng, hoặc thử lại sau 2 phút. Nếu vẫn không được, hãy liên hệ hotline.",ACCOUNT
FAQ_014,"Tôi có thể đặt bàn giúp người khác không?","Được ạ. Bạn chỉ cần điền tên và số điện thoại của người đi ăn vào phần 'Thông tin người nhận bàn'.",BOOKING

FAQ_016,"Tôi muốn xem lịch sử các lần ăn trước.","Bạn vào mục 'Tài khoản' -> 'Lịch sử đặt bàn' để xem lại toàn bộ các đơn đã hoàn thành.",ACCOUNT
FAQ_017,"Hệ thống chấp nhận phương thức thanh toán nào?","Hệ thống chấp nhận thẻ Visa/Master, thẻ ATM nội địa, ví Momo, ZaloPay và chuyển khoản ngân hàng.",PAYMENT
FAQ_018,"Nếu tôi đến trễ thì có bị hủy bàn không?","Nhà hàng thường giữ bàn tối đa 15-30 phút. Nếu trễ hơn, bạn nên gọi báo trước để nhà hàng sắp xếp.",BOOKING
FAQ_019,"Làm sao để đánh giá nhà hàng sau khi ăn?","Sau khi hoàn thành đơn, hệ thống sẽ gửi thông báo mời bạn đánh giá sao và viết nhận xét.",LOYALTY
FAQ_020,"Tôi muốn khiếu nại về thái độ nhân viên nhà hàng.","Rất tiếc về trải nghiệm của bạn. Vui lòng gửi phản hồi qua mục 'Liên hệ' hoặc gọi hotline để chúng tôi xử lý.",SUPPORT
